Avg,Peak,Min,RMS,Label
7.5,20,0,8.9,Background Noise
6.0,17,0,7.1,Background Noise
6.5,16,0,8.0,Background Noise
5.0,16,0,6.2,Background Noise
3.8,13,0,4.9,Background Noise
6.1,16,0,7.5,Background Noise
5.3,16,0,6.5,Background Noise
5.5,20,0,6.7,Background Noise
7.5,24,0,8.8,Background Noise
5.9,17,0,7.4,Background Noise
6.8,24,0,8.2,Background Noise
3.8,12,0,4.9,Background Noise
4.3,16,0,5.1,Background Noise
3.5,12,0,4.6,Background Noise
3.4,12,0,4.2,Background Noise
4.3,13,0,5.6,Background Noise
2.8,9,0,3.5,Background Noise
3.1,12,0,3.9,Background Noise
4.7,16,0,5.9,Background Noise
5.5,16,0,6.7,Background Noise
3.3,12,0,4.2,Background Noise
5.0,20,0,6.3,Background Noise
6.2,13,0,7.2,Background Noise
16.1,28,1,16.9,Background Noise
11.0,25,0,12.4,Background Noise
8.6,20,0,10.0,Background Noise
5.2,12,0,6.2,Background Noise
4.0,17,0,5.3,Background Noise
1471.0,4317,32,1841.8,Talking
1488.2,3801,8,1826.1,Talking
1818.0,4345,8,2144.3,Talking
3040.4,6137,80,3431.1,Talking
3853.7,6444,9,4285.5,Talking
1946.4,4169,0,2218.6,Talking
3991.9,6429,17,4441.5,Talking
3588.4,5765,16,3978.6,Talking
1915.8,3388,156,2151.9,Talking
2481.6,4147,36,2746.5,Talking
2847.3,4652,51,3144.0,Talking
1780.9,3072,17,1969.7,Talking
1806.5,3031,4,2000.9,Talking
1572.4,2763,84,1749.5,Talking
1691.6,2787,4,1872.7,Talking
1512.1,2500,20,1671.0,Talking
1120.7,1903,12,1240.8,Talking
1774.9,2916,0,1969.4,Talking
1667.1,3380,20,1874.6,Talking
1914.7,3076,11,2116.5,Talking
407.1,1949,0,544.3,Laughter
283.2,1652,4,376.6,Laughter
22.4,72,0,26.9,Laughter
80.5,588,1,128.9,Laughter
221.5,747,5,278.0,Laughter
484.2,1363,1,576.3,Laughter
409.8,1051,1,498.5,Laughter
274.2,816,0,340.0,Laughter
464.4,1228,0,583.5,Laughter
416.7,1153,8,502.3,Laughter
66.5,268,1,87.2,Talking
48.8,127,0,57.1,Talking
79.0,248,0,96.6,Talking
97.0,241,0,111.9,Talking
85.2,247,0,104.2,Talking
71.4,220,0,86.9,Talking
7.8,28,0,9.9,Talking
53.6,196,0,68.9,Talking
15.6,47,0,19.2,Talking
37.9,72,0,42.0,Talking
91.0,196,0,102.5,Talking
115.9,332,0,136.2,Talking
22.9,92,0,29.8,Talking
110.0,308,1,129.5,Talking
16.2,56,0,19.7,Talking
108.8,297,0,135.7,Talking
87.7,183,1,101.1,Talking
14.6,39,0,17.5,Talking
6.3,19,0,7.8,Talking
30.1,163,0,44.2,Talking
6.6,20,0,8.0,Talking
15.4,83,0,20.3,Talking
45.2,269,0,60.4,Talking
7.1,21,0,8.6,Talking
8.2,28,0,10.3,Talking
8.2,29,0,10.2,Talking
17.5,51,0,21.4,Talking
7.1,27,0,9.0,Talking
98.8,220,0,113.4,Talking
6.1,24,0,7.6,Talking
38.1,228,0,51.3,Talking
17.3,88,0,22.3,Talking
88.6,288,0,109.2,Talking
12.6,33,0,15.1,Talking
10.9,32,0,13.2,Talking
17.3,96,0,25.7,Talking
67.6,169,0,78.0,Talking
12.3,41,0,15.7,Talking
95.1,337,0,117.8,Talking
11.8,40,0,14.8,Talking
13.6,44,0,16.6,Talking
24.9,112,0,31.6,Talking
81.5,293,0,102.5,Talking
9.6,32,0,12.1,Talking
35.7,108,0,43.8,Talking
35.7,100,0,43.2,Talking
27.7,88,0,33.2,Talking
12.6,39,0,14.9,Talking
49.3,129,1,59.1,Talking
19.6,68,0,23.9,Talking
51.0,180,0,64.0,Talking
54.1,155,0,64.4,Talking
9.3,28,0,11.7,Talking
11.9,43,0,14.9,Talking
8.9,31,0,10.6,Talking
21.2,71,0,26.7,Talking
7.8,23,0,9.6,Talking
17.6,88,0,22.6,Talking
68.0,228,0,84.4,Talking
45.3,232,0,63.7,Talking
46.4,139,0,54.2,Talking
6.9,24,0,8.4,Talking
22.4,100,0,28.7,Talking
6.1,27,0,7.9,Talking
10.3,32,0,12.8,Talking
11.7,32,0,14.1,Talking
27.5,104,0,34.5,Talking
6.9,28,0,8.7,Talking
6.9,24,0,8.6,Talking
195.8,496,1,228.0,Talking
182.2,583,4,222.8,Talking
